intrebarea,adevarat,fals
The Neanderthals were a direct ancestor of modern humans.,False,True
The retail disc of Tony Hawk&#039;s Pro Skater 5 only comes with the tutorial.,True,False
The first computer bug was formed by faulty wires.,False,True
Leonardo DiCaprio won an Oscar for Best Actor in 2004&#039;s &quot;The Aviator&quot;.,False,True
The Mann Co. Store from Team Fortress 2 has the slogan &quot;We hire mercenaries and get in fights&quot;.,False,True
The US emergency hotline is 911 because of the September 11th terrorist attacks.,False,True
The &quot;Gympie Stinger&quot; is the deadliest plant in the world.,False,True
"In the play Oedipus Rex, Oedipus kills his father due to jealousy in loving his mother.",False,True
There was a satirical candidate named &quot;Deez Nuts&quot; running in the 2016 US presidential elections.,True,False
"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",True,False
Furby was released in 1998.,True,False
An eggplant is a vegetable.,False,True
"In the original script of &quot;The Matrix&quot;, the machines used humans as additional computing power instead of batteries.",True,False
The communication protocol NFC stands for Near-Field Control.,False,True
Vietnam is the only country in the world that starts with V. ,False,True
Salt is 100% composed of Sodium.,False,True
"On average, at least 1 person is killed by a drunk driver in the United States every hour.",True,False
"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",True,False
The Japanese god Izanagi successfully returned his wife Izanami from the Underworld.,False,True
The open source program Redis is a relational database server.,False,True
Pluto is a planet.,False,True
"In the game &quot;Subnautica&quot;, a &quot;Cave Crawler&quot; will attack you.",True,False
The French word for &quot;glass&quot; is &quot;glace&quot;.,False,True
The Lego Group was founded in 1932.,True,False
The NVidia GTX 1080 gets its name because it can only render at a 1920x1080 screen resolution.,False,True
A Saxophone is a brass instrument.,False,True
The first dual-core CPU was the Intel Pentium D.,False,True
Albert Einstein had trouble with mathematics when he was in school.,False,True
"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",False,True
"In Rocket League, you can play Basketball.",True,False
In Riot Games &quot;League of Legends&quot; the name of Halloween event is called &quot;The Reckoning&quot;.,False,True
The USS Missouri (BB-63) last served in the Korean War.,False,True
"In Heroes of the Storm, the Cursed Hollow map gimmick requires players to kill the undead to curse the enemy team.",False,True
Sugar contains fat.,False,True
"In &quot;Doctor Who&quot;, the Doctor gets his TARDIS by stealing it.",True,False
L&#039;H&ocirc;pital was the mathematician who created the homonymous rule that uses derivatives to evaluate limits with indeterminations.,False,True
Helen Clark was the 37th Prime Minister of Australia.,False,True
"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",False,True
"In the &quot;To Love-Ru&quot; series, Peke is considered a female robot.",True,False
New Haven is the capital city of the state of Connecticut in the United States.,False,True
The scientific name for the Southern Lights is Aurora Australis?,True,False
Michael Jackson wrote The Simpsons song &quot;Do the Bartman&quot;.,False,True
Sound can travel through a vacuum.,False,True
The Korean War ended in 1953 without any ceasefire.,False,True
ATP tennis hosted several tournaments on carpet court before being replaced to reduce injuries.,True,False
"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",True,False
"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",True,False
The Paradox Interactive game &quot;Stellaris&quot; was released in 2016.,True,False
Ping-Pong originated in England,True,False
"In &quot;Resident Evil&quot;, only Chris has access to the grenade launcher.",False,True
